table_catalog,table_schema,table_name,table_type,is_insertable_into,is_typed,creation_time,base_table_catalog,base_table_schema,base_table_name,snapshot_time_ms,ddl,default_collation_name,upsert_stream_apply_watermark
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2023,BASE TABLE,YES,NO,2023-03-21 00:09:09.475000 UTC,,,,,"CREATE TABLE `bigquery-public-data.new_york_taxi_trips.tlc_yellow_trips_2023`
(
  vendor_id STRING NOT NULL OPTIONS(description=""A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.""),
  pickup_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was engaged""),
  dropoff_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was disengaged""),
  passenger_count INT64 OPTIONS(description=""The number of passengers in the vehicle. This is a driver-entered value.""),
  trip_distance NUMERIC OPTIONS(description=""The elapsed trip distance in miles reported by the taximeter.""),
  rate_code STRING OPTIONS(description=""The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride""),
  store_and_fwd_flag STRING OPTIONS(description=""This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip""),
  payment_type STRING OPTIONS(description=""A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip""),
  fare_amount NUMERIC OPTIONS(description=""The time-and-distance fare calculated by the meter""),
  extra NUMERIC OPTIONS(description=""Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges""),
  mta_tax NUMERIC OPTIONS(description=""$0.50 MTA tax that is automatically triggered based on the metered rate in use""),
  tip_amount NUMERIC OPTIONS(description=""Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.""),
  tolls_amount NUMERIC OPTIONS(description=""Total amount of all tolls paid in trip.""),
  imp_surcharge NUMERIC OPTIONS(description=""$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.""),
  total_amount NUMERIC OPTIONS(description=""The total amount charged to passengers. Does not include cash tips.""),
  pickup_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was engaged""),
  dropoff_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was disengaged""),
  data_file_year INT64 OPTIONS(description=""Datafile timestamp year value""),
  data_file_month INT64 OPTIONS(description=""Datafile timestamp month value"")
);",NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2016,CLONE,YES,NO,2022-09-14 04:15:29.911000 UTC,bigquery-public-data-dev,new_york_taxi_trips,tlc_yellow_trips_2016,2022-09-14 04:15:28.858000 UTC,"CREATE TABLE `bigquery-public-data.new_york_taxi_trips.tlc_yellow_trips_2016`
(
  vendor_id STRING NOT NULL OPTIONS(description=""A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.""),
  pickup_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was engaged""),
  dropoff_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was disengaged""),
  passenger_count INT64 OPTIONS(description=""The number of passengers in the vehicle. This is a driver-entered value.""),
  trip_distance NUMERIC OPTIONS(description=""The elapsed trip distance in miles reported by the taximeter.""),
  rate_code STRING OPTIONS(description=""The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride""),
  store_and_fwd_flag STRING OPTIONS(description=""This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip""),
  payment_type STRING OPTIONS(description=""A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip""),
  fare_amount NUMERIC OPTIONS(description=""The time-and-distance fare calculated by the meter""),
  extra NUMERIC OPTIONS(description=""Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges""),
  mta_tax NUMERIC OPTIONS(description=""$0.50 MTA tax that is automatically triggered based on the metered rate in use""),
  tip_amount NUMERIC OPTIONS(description=""Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.""),
  tolls_amount NUMERIC OPTIONS(description=""Total amount of all tolls paid in trip.""),
  imp_surcharge NUMERIC OPTIONS(description=""$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.""),
  airport_fee NUMERIC OPTIONS(description=""""),
  total_amount NUMERIC OPTIONS(description=""The total amount charged to passengers. Does not include cash tips.""),
  pickup_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was engaged""),
  dropoff_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was disengaged""),
  data_file_year INT64 OPTIONS(description=""Datafile timestamp year value""),
  data_file_month INT64 OPTIONS(description=""Datafile timestamp month value"")
);",NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2018,CLONE,YES,NO,2022-09-14 04:10:39.921000 UTC,bigquery-public-data-dev,new_york_taxi_trips,tlc_green_trips_2018,2022-09-14 04:10:38.896000 UTC,"CREATE TABLE `bigquery-public-data.new_york_taxi_trips.tlc_green_trips_2018`
(
  vendor_id STRING NOT NULL OPTIONS(description=""A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.""),
  pickup_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was engaged""),
  dropoff_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was disengaged""),
  store_and_fwd_flag STRING OPTIONS(description=""This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip""),
  rate_code STRING OPTIONS(description=""The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride""),
  passenger_count INT64 OPTIONS(description=""The number of passengers in the vehicle. This is a driver-entered value.""),
  trip_distance NUMERIC OPTIONS(description=""The elapsed trip distance in miles reported by the taximeter.""),
  fare_amount NUMERIC OPTIONS(description=""The time-and-distance fare calculated by the meter""),
  extra NUMERIC OPTIONS(description=""Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges""),
  mta_tax NUMERIC OPTIONS(description=""$0.50 MTA tax that is automatically triggered based on the metered rate in use""),
  tip_amount NUMERIC OPTIONS(description=""Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.""),
  tolls_amount NUMERIC OPTIONS(description=""Total amount of all tolls paid in trip.""),
  ehail_fee NUMERIC OPTIONS(description=""""),
  airport_fee NUMERIC OPTIONS(description=""""),
  total_amount NUMERIC OPTIONS(description=""The total amount charged to passengers. Does not include cash tips.""),
  payment_type STRING OPTIONS(description=""A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip""),
  distance_between_service NUMERIC OPTIONS(description=""""),
  time_between_service INT64 OPTIONS(description=""""),
  trip_type STRING OPTIONS(description=""A code indicating whether the trip was a street-hail or a dispatch that is automatically assigned based on the metered rate in use but can be altered by the driver. 1= Street-hail 2= Dispatch""),
  imp_surcharge NUMERIC OPTIONS(description=""$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.""),
  pickup_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was engaged""),
  dropoff_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was disengaged""),
  data_file_year INT64 OPTIONS(description=""Datafile timestamp year value""),
  data_file_month INT64 OPTIONS(description=""Datafile timestamp month value"")
);",NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2019,CLONE,YES,NO,2022-09-14 04:10:55.711000 UTC,bigquery-public-data-dev,new_york_taxi_trips,tlc_green_trips_2019,2022-09-14 04:10:54.658000 UTC,"CREATE TABLE `bigquery-public-data.new_york_taxi_trips.tlc_green_trips_2019`
(
  vendor_id STRING NOT NULL OPTIONS(description=""A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.""),
  pickup_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was engaged""),
  dropoff_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was disengaged""),
  store_and_fwd_flag STRING OPTIONS(description=""This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip""),
  rate_code STRING OPTIONS(description=""The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride""),
  passenger_count INT64 OPTIONS(description=""The number of passengers in the vehicle. This is a driver-entered value.""),
  trip_distance NUMERIC OPTIONS(description=""The elapsed trip distance in miles reported by the taximeter.""),
  fare_amount NUMERIC OPTIONS(description=""The time-and-distance fare calculated by the meter""),
  extra NUMERIC OPTIONS(description=""Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges""),
  mta_tax NUMERIC OPTIONS(description=""$0.50 MTA tax that is automatically triggered based on the metered rate in use""),
  tip_amount NUMERIC OPTIONS(description=""Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.""),
  tolls_amount NUMERIC OPTIONS(description=""Total amount of all tolls paid in trip.""),
  ehail_fee NUMERIC OPTIONS(description=""""),
  airport_fee NUMERIC OPTIONS(description=""""),
  total_amount NUMERIC OPTIONS(description=""The total amount charged to passengers. Does not include cash tips.""),
  payment_type STRING OPTIONS(description=""A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip""),
  distance_between_service NUMERIC OPTIONS(description=""""),
  time_between_service INT64 OPTIONS(description=""""),
  trip_type STRING OPTIONS(description=""A code indicating whether the trip was a street-hail or a dispatch that is automatically assigned based on the metered rate in use but can be altered by the driver. 1= Street-hail 2= Dispatch""),
  imp_surcharge NUMERIC OPTIONS(description=""$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.""),
  pickup_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was engaged""),
  dropoff_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was disengaged""),
  data_file_year INT64 OPTIONS(description=""Datafile timestamp year value""),
  data_file_month INT64 OPTIONS(description=""Datafile timestamp month value"")
);",NULL,
bigquery-public-data,new_york_taxi_trips,tlc_fhv_trips_2016,BASE TABLE,YES,NO,2017-04-12 19:44:43.884000 UTC,,,,,"CREATE TABLE `bigquery-public-data.new_york_taxi_trips.tlc_fhv_trips_2016`
(
  location_id INT64 OPTIONS(description=""The TLC taxi zone of the trip pick-up""),
  pickup_datetime DATETIME OPTIONS(description=""The date and time of the trip pick-up.""),
  dispatching_base_num STRING OPTIONS(description=""The TLC Base License Number of the base that dispatched the trip.""),
  borough STRING OPTIONS(description=""This is Pickup borough""),
  zone STRING OPTIONS(description=""This is Pickup zone""),
  service_zone STRING OPTIONS(description=""This is Pickup service_zone"")
);",NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,CLONE,YES,NO,2022-09-14 04:16:06.772000 UTC,bigquery-public-data-dev,new_york_taxi_trips,tlc_yellow_trips_2014,2022-09-14 04:16:05.173000 UTC,"CREATE TABLE `bigquery-public-data.new_york_taxi_trips.tlc_yellow_trips_2014`
(
  vendor_id STRING NOT NULL OPTIONS(description=""A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.""),
  pickup_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was engaged""),
  dropoff_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was disengaged""),
  passenger_count INT64 OPTIONS(description=""The number of passengers in the vehicle. This is a driver-entered value.""),
  trip_distance NUMERIC OPTIONS(description=""The elapsed trip distance in miles reported by the taximeter.""),
  rate_code STRING OPTIONS(description=""The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride""),
  store_and_fwd_flag STRING OPTIONS(description=""This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip""),
  payment_type STRING OPTIONS(description=""A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip""),
  fare_amount NUMERIC OPTIONS(description=""The time-and-distance fare calculated by the meter""),
  extra NUMERIC OPTIONS(description=""Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges""),
  mta_tax NUMERIC OPTIONS(description=""$0.50 MTA tax that is automatically triggered based on the metered rate in use""),
  tip_amount NUMERIC OPTIONS(description=""Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.""),
  tolls_amount NUMERIC OPTIONS(description=""Total amount of all tolls paid in trip.""),
  imp_surcharge NUMERIC OPTIONS(description=""$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.""),
  airport_fee NUMERIC OPTIONS(description=""""),
  total_amount NUMERIC OPTIONS(description=""The total amount charged to passengers. Does not include cash tips.""),
  pickup_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was engaged""),
  dropoff_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was disengaged""),
  data_file_year INT64 OPTIONS(description=""Datafile timestamp year value""),
  data_file_month INT64 OPTIONS(description=""Datafile timestamp month value"")
);",NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,CLONE,YES,NO,2022-09-14 04:11:54.853000 UTC,bigquery-public-data-dev,new_york_taxi_trips,tlc_green_trips_2022,2022-09-14 04:11:53.702000 UTC,"CREATE TABLE `bigquery-public-data.new_york_taxi_trips.tlc_green_trips_2022`
(
  vendor_id STRING NOT NULL OPTIONS(description=""A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.""),
  pickup_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was engaged""),
  dropoff_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was disengaged""),
  store_and_fwd_flag STRING OPTIONS(description=""This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip""),
  rate_code STRING OPTIONS(description=""The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride""),
  passenger_count INT64 OPTIONS(description=""The number of passengers in the vehicle. This is a driver-entered value.""),
  trip_distance NUMERIC OPTIONS(description=""The elapsed trip distance in miles reported by the taximeter.""),
  fare_amount NUMERIC OPTIONS(description=""The time-and-distance fare calculated by the meter""),
  extra NUMERIC OPTIONS(description=""Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges""),
  mta_tax NUMERIC OPTIONS(description=""$0.50 MTA tax that is automatically triggered based on the metered rate in use""),
  tip_amount NUMERIC OPTIONS(description=""Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.""),
  tolls_amount NUMERIC OPTIONS(description=""Total amount of all tolls paid in trip.""),
  ehail_fee NUMERIC OPTIONS(description=""""),
  airport_fee NUMERIC OPTIONS(description=""""),
  total_amount NUMERIC OPTIONS(description=""The total amount charged to passengers. Does not include cash tips.""),
  payment_type STRING OPTIONS(description=""A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip""),
  distance_between_service NUMERIC OPTIONS(description=""""),
  time_between_service INT64 OPTIONS(description=""""),
  trip_type STRING OPTIONS(description=""A code indicating whether the trip was a street-hail or a dispatch that is automatically assigned based on the metered rate in use but can be altered by the driver. 1= Street-hail 2= Dispatch""),
  imp_surcharge NUMERIC OPTIONS(description=""$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.""),
  pickup_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was engaged""),
  dropoff_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was disengaged""),
  data_file_year INT64 OPTIONS(description=""Datafile timestamp year value""),
  data_file_month INT64 OPTIONS(description=""Datafile timestamp month value"")
);",NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,CLONE,YES,NO,2022-09-14 04:14:34.288000 UTC,bigquery-public-data-dev,new_york_taxi_trips,tlc_yellow_trips_2019,2022-09-14 04:14:33.336000 UTC,"CREATE TABLE `bigquery-public-data.new_york_taxi_trips.tlc_yellow_trips_2019`
(
  vendor_id STRING NOT NULL OPTIONS(description=""A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.""),
  pickup_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was engaged""),
  dropoff_datetime TIMESTAMP OPTIONS(description=""The date and time when the meter was disengaged""),
  passenger_count INT64 OPTIONS(description=""The number of passengers in the vehicle. This is a driver-entered value.""),
  trip_distance NUMERIC OPTIONS(description=""The elapsed trip distance in miles reported by the taximeter.""),
  rate_code STRING OPTIONS(description=""The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride""),
  store_and_fwd_flag STRING OPTIONS(description=""This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip""),
  payment_type STRING OPTIONS(description=""A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip""),
  fare_amount NUMERIC OPTIONS(description=""The time-and-distance fare calculated by the meter""),
  extra NUMERIC OPTIONS(description=""Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges""),
  mta_tax NUMERIC OPTIONS(description=""$0.50 MTA tax that is automatically triggered based on the metered rate in use""),
  tip_amount NUMERIC OPTIONS(description=""Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.""),
  tolls_amount NUMERIC OPTIONS(description=""Total amount of all tolls paid in trip.""),
  imp_surcharge NUMERIC OPTIONS(description=""$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.""),
  airport_fee NUMERIC OPTIONS(description=""""),
  total_amount NUMERIC OPTIONS(description=""The total amount charged to passengers. Does not include cash tips.""),
  pickup_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was engaged""),
  dropoff_location_id STRING OPTIONS(description=""TLC Taxi Zone in which the taximeter was disengaged""),
  data_file_year INT64 OPTIONS(description=""Datafile timestamp year value""),
  data_file_month INT64 OPTIONS(description=""Datafile timestamp month value"")
);",NULL,
bigquery-public-data,new_york_taxi_trips,taxi_zone_geom,BASE TABLE,YES,NO,2018-11-30 21:22:34.772000 UTC,,,,,"CREATE TABLE `bigquery-public-data.new_york_taxi_trips.taxi_zone_geom`
(
  zone_id STRING OPTIONS(description=""Unique ID number of each taxi zone. Corresponds with the pickup_location_id and dropoff_location_id in each of the trips tables""),
  zone_name STRING OPTIONS(description=""Full text name of the taxi zone""),
  borough STRING OPTIONS(description=""Borough containing the taxi zone""),
  zone_geom GEOGRAPHY OPTIONS(description=""Geometric outline that defines the taxi zone suitable for GIS analysis."")
);",NULL,
